part,trial,resp,rt,rtlog,prime,lang,mis
L14,163,j,0.532449599999381,-0.630267033766437,a_unrel,vieras,labra
L14,214,j,0.800842700002249,-0.222090730721546,a_unrel,vieras,labra
L14,129,j,0.784961800000019,-0.242120224804141,a_unrel,vieras,labra
L14,135,j,0.559699399997044,-0.580355425093538,a_unrel,vieras,labra
L14,146,j,0.682566900002712,-0.381894734744867,a_unrel,vieras,labra
L14,154,j,0.653428000001441,-0.42552292796099,a_unrel,vieras,labra
L14,159,j,0.648411400001351,-0.433229907533423,a_unrel,vieras,labra
L14,156,j,0.693996300000435,-0.365288649901022,a_unrel,vieras,labra
L14,162,j,0.680893600001582,-0.38434922585949,a_unrel,vieras,labra
L14,131,j,0.57822429999942,-0.547793423303719,a_unrel,vieras,labra
L14,133,j,0.513412199998129,-0.666676247683437,a_unrel,vieras,labra
L15,109,j,0.745649899938144,-0.293499091967489,a_unrel,vieras,labra
L15,124,j,0.789154500002041,-0.236793159812925,a_unrel,vieras,labra
L15,91,f,0.676280399900861,-0.391147496189153,a_unrel,vieras,labra
L15,119,j,0.540731000015512,-0.61483335112223,a_unrel,vieras,labra
L15,165,j,0.748539399937727,-0.289631437980455,a_unrel,vieras,labra
L15,203,j,0.591515999985859,-0.525066546080239,a_unrel,vieras,labra
L15,173,j,0.708441199967638,-0.344688215578249,a_unrel,vieras,labra
L15,176,j,0.622270399937406,-0.474380554121714,a_unrel,vieras,labra
L15,184,j,0.825878600007854,-0.19130748961891,a_unrel,vieras,labra
L15,192,j,0.971483499975875,-0.028930994378997,a_unrel,vieras,labra
L15,212,j,0.808571800007485,-0.212485797467113,a_unrel,vieras,labra
L15,169,j,0.987952099996619,-0.012121064194348,a_unrel,vieras,labra
L16,20,j,0.77323210000759,-0.257176016721319,a_unrel,vieras,labra
L16,25,j,0.784640099969693,-0.242530137706051,a_unrel,vieras,labra
L16,31,j,0.717681600013748,-0.331729262308575,a_unrel,vieras,labra
L16,33,j,0.527676700032316,-0.639271493359392,a_unrel,vieras,labra
L16,35,j,0.724539599963464,-0.322218860380449,a_unrel,vieras,labra
L16,40,j,0.558381200011354,-0.582713395702184,a_unrel,vieras,labra
L16,42,j,0.688018399989232,-0.373939697236017,a_unrel,vieras,labra
L16,44,j,0.552185499982443,-0.593871238464597,a_unrel,vieras,labra
L16,47,j,0.586118300037924,-0.534233632581761,a_unrel,vieras,labra
L16,51,j,0.604248300020117,-0.503770072774257,a_unrel,vieras,labra
L16,53,j,0.509310399997048,-0.674697625121296,a_unrel,vieras,labra
L16,60,j,0.491915200022049,-0.709448935023883,a_unrel,vieras,labra
L16,75,j,0.678950299974531,-0.387207350016191,a_unrel,vieras,labra
L16,163,j,0.503265500010457,-0.68663741511447,a_unrel,vieras,labra
L16,214,j,0.703922999964561,-0.351086303856321,a_unrel,vieras,labra
L16,129,j,0.861893699970096,-0.148623333822842,a_unrel,vieras,labra
L16,135,j,0.522210300026927,-0.64968489861648,a_unrel,vieras,labra
L16,137,j,0.495880300004501,-0.70142071201822,a_unrel,vieras,labra
L16,146,j,0.639676699996926,-0.446792386517629,a_unrel,vieras,labra
L16,154,j,0.811263300012797,-0.209162616629446,a_unrel,vieras,labra
L16,159,j,0.797804700036068,-0.225891448282173,a_unrel,vieras,labra
L16,156,j,0.67272370000137,-0.396420583411123,a_unrel,vieras,labra
L16,162,j,0.557238999987021,-0.584761046727912,a_unrel,vieras,labra
L16,131,j,0.750324899971019,-0.287248966294436,a_unrel,vieras,labra
L16,133,j,0.538353499956429,-0.619239871475771,a_unrel,vieras,labra
L17,124,j,0.64155609998852,-0.443858647481932,a_unrel,vieras,labra
L17,91,j,0.569875399989542,-0.562337538558816,a_unrel,vieras,labra
L17,119,j,0.682790099992417,-0.381567787299336,a_unrel,vieras,labra
L17,165,j,0.72560240002349,-0.32075307254681,a_unrel,vieras,labra
L17,203,j,0.827315200003795,-0.189569519929525,a_unrel,vieras,labra
L17,173,j,0.633438700053375,-0.456592047828091,a_unrel,vieras,labra
L17,176,j,0.64798939996399,-0.43388094084392,a_unrel,vieras,labra
L17,184,j,0.558827000029851,-0.581915334889273,a_unrel,vieras,labra
L17,192,j,0.675882900017314,-0.391735442770785,a_unrel,vieras,labra
L17,187,j,0.59966649999842,-0.511381611634572,a_unrel,vieras,labra
L17,171,j,0.614584999973886,-0.486808035743877,a_unrel,vieras,labra
L17,169,j,0.65852040000027,-0.417759778779385,a_unrel,vieras,labra
L18,25,j,0.684504400007427,-0.379060206213772,a_unrel,vieras,labra
L18,31,j,0.686271299957298,-0.37648224845093,a_unrel,vieras,labra
L18,33,j,0.683976400003303,-0.379831864873974,a_unrel,vieras,labra
L18,35,j,0.647314900008496,-0.434922394989441,a_unrel,vieras,labra
L18,40,j,0.60188949998701,-0.507681405360421,a_unrel,vieras,labra
L18,42,j,0.949289900017902,-0.052041047550644,a_unrel,vieras,labra
L18,44,j,0.810705200012308,-0.209850792783923,a_unrel,vieras,labra
L18,47,j,0.784562500019092,-0.242629041379375,a_unrel,vieras,labra
L18,51,j,0.894240800000262,-0.111780188846435,a_unrel,vieras,labra
L18,53,j,1.03789310000138,0.037192792929027,a_unrel,vieras,labra
L18,60,j,1.03620010003215,0.035560271936039,a_unrel,vieras,labra
L18,75,j,0.992922600009479,-0.007102563584671,a_unrel,vieras,labra
L18,82,j,0.92853529995773,-0.074146880648477,a_unrel,vieras,labra
L18,163,j,0.654983299958985,-0.423145539917744,a_unrel,vieras,labra
L18,129,j,1.01873419998446,0.018560876234958,a_unrel,vieras,labra
L18,135,j,1.01544450002257,0.015326447686652,a_unrel,vieras,labra
L18,137,j,1.0847444999963,0.081344475387364,a_unrel,vieras,labra
L18,146,j,0.677769600006286,-0.388947871794239,a_unrel,vieras,labra
L18,154,j,0.755039700015914,-0.280984948313004,a_unrel,vieras,labra
L18,159,j,0.627180000010412,-0.466521698192865,a_unrel,vieras,labra
L18,156,j,0.757379699964076,-0.277890566139175,a_unrel,vieras,labra
L18,162,j,0.714594600023702,-0.336039890063274,a_unrel,vieras,labra
L18,131,j,0.682120300014503,-0.382549243710946,a_unrel,vieras,labra
L18,133,j,0.817906599957496,-0.201007129879591,a_unrel,vieras,labra
L19,109,j,0.607037300011143,-0.499165040039358,a_unrel,vieras,labra
L19,124,j,0.579845300002489,-0.54499393515252,a_unrel,vieras,labra
L19,91,j,0.587919000012334,-0.531166095653677,a_unrel,vieras,labra
L19,119,j,0.661459000024479,-0.413307277658675,a_unrel,vieras,labra
L19,203,j,0.508076999976765,-0.677122268132537,a_unrel,vieras,labra
L19,173,j,0.630630600033328,-0.461035007781556,a_unrel,vieras,labra
L19,176,j,0.615054099995177,-0.486045047572698,a_unrel,vieras,labra
L19,184,j,0.635751700028777,-0.45294720063114,a_unrel,vieras,labra
L19,187,j,0.545425699965563,-0.606188688365159,a_unrel,vieras,labra
L19,171,j,0.555911699950229,-0.587145810382837,a_unrel,vieras,labra
L19,169,j,0.704712499980815,-0.349965360789143,a_unrel,vieras,labra
L20,20,j,0.627719599986449,-0.465661709060197,a_unrel,vieras,labra
L20,25,j,0.614674899959937,-0.486661768894668,a_unrel,vieras,labra
L20,31,j,0.760179899982177,-0.274200163210407,a_unrel,vieras,labra
L20,33,j,0.711978400009684,-0.33970770509539,a_unrel,vieras,labra
L20,35,j,0.782170200021937,-0.245682915031641,a_unrel,vieras,labra
L20,40,j,0.550934200058691,-0.596139896091487,a_unrel,vieras,labra
L20,42,j,0.792332099983469,-0.232774656896057,a_unrel,vieras,labra
L20,44,j,0.64529080002103,-0.438054211044143,a_unrel,vieras,labra
L20,47,j,0.668321199947968,-0.402986382765695,a_unrel,vieras,labra
L20,51,j,0.666210099938326,-0.406150192817624,a_unrel,vieras,labra
L20,53,j,0.627772700041533,-0.465577120639998,a_unrel,vieras,labra
L20,60,j,0.66754089994356,-0.40415461726118,a_unrel,vieras,labra
L20,75,j,0.650245199911296,-0.430405756593278,a_unrel,vieras,labra
L20,82,j,0.647813299903646,-0.434152741576309,a_unrel,vieras,labra
L20,163,j,0.600591699942015,-0.509839943138763,a_unrel,vieras,labra
L20,214,j,0.571555899921805,-0.559392987894037,a_unrel,vieras,labra
L20,129,j,0.636558500002138,-0.45167895632801,a_unrel,vieras,labra
L20,135,j,0.804283899953589,-0.21780296273661,a_unrel,vieras,labra
L20,137,j,0.589169399929233,-0.529041530689319,a_unrel,vieras,labra
L20,154,j,0.635315000079572,-0.453634339970642,a_unrel,vieras,labra
L20,156,j,0.683899400057271,-0.379944448115975,a_unrel,vieras,labra
L20,162,j,0.802859199931845,-0.219575922960307,a_unrel,vieras,labra
L20,133,j,0.784683999954723,-0.242474190072234,a_unrel,vieras,labra
L24,20,j,0.995477200020105,-0.004533058783756,a_unrel,vieras,labra
L24,25,j,0.602648900123313,-0.506420507016549,a_unrel,vieras,labra
L24,31,j,0.626144099980593,-0.468174742709785,a_unrel,vieras,labra
L24,33,j,0.696448199916631,-0.361761860507003,a_unrel,vieras,labra
L24,35,j,0.659600700018927,-0.41612062701932,a_unrel,vieras,labra
L24,40,j,0.743847300065681,-0.295919507061238,a_unrel,vieras,labra
L24,44,j,0.856494199950248,-0.154907733044455,a_unrel,vieras,labra
L24,51,j,0.786319099832326,-0.240392589509842,a_unrel,vieras,labra
L24,53,j,0.626986199989915,-0.466830748176893,a_unrel,vieras,labra
L24,60,j,0.66457140003331,-0.408612957341035,a_unrel,vieras,labra
L24,75,j,0.48091010004282,-0.732074928542648,a_unrel,vieras,labra
L24,82,j,0.60043720016256,-0.510097222177251,a_unrel,vieras,labra
L24,163,j,0.752514800056815,-0.284334614702928,a_unrel,vieras,labra
L24,214,j,0.74083249992691,-0.299980725220872,a_unrel,vieras,labra
L24,129,j,0.691442100098357,-0.368975862260235,a_unrel,vieras,labra
L24,135,j,0.670598999829963,-0.399583936406589,a_unrel,vieras,labra
L24,137,j,0.590472300071269,-0.526832553723117,a_unrel,vieras,labra
L24,154,j,0.670911999884993,-0.399117298323449,a_unrel,vieras,labra
L24,159,j,0.545967599842697,-0.605195645945417,a_unrel,vieras,labra
L24,156,j,0.747207999927923,-0.291411685583166,a_unrel,vieras,labra
L24,162,j,1.12432549986988,0.117183300179792,a_unrel,vieras,labra
L24,131,j,0.60766760003753,-0.498127256981217,a_unrel,vieras,labra
L24,133,j,0.615383700001985,-0.485509303279582,a_unrel,vieras,labra
L25,25,j,0.839891000185162,-0.174483157248884,a_unrel,vieras,labra
L25,31,j,0.881104100029916,-0.12657949881201,a_unrel,vieras,labra
L25,33,j,0.805862099863589,-0.21584264309407,a_unrel,vieras,labra
L25,35,j,0.80899849999696,-0.211958216070037,a_unrel,vieras,labra
L25,40,j,0.682601000182331,-0.381844777256676,a_unrel,vieras,labra
L25,42,j,0.913340900093317,-0.090646083528745,a_unrel,vieras,labra
L25,44,j,0.775289100129157,-0.254519286763368,a_unrel,vieras,labra
L25,47,j,0.815480699995533,-0.203977523668894,a_unrel,vieras,labra
L25,51,j,0.682538700057194,-0.381936050150094,a_unrel,vieras,labra
L25,53,j,0.703213500091806,-0.352094734712678,a_unrel,vieras,labra
L25,60,j,0.655263199936599,-0.422718292095454,a_unrel,vieras,labra
L25,75,j,1.18210950004868,0.167300554328214,a_unrel,vieras,labra
L25,163,j,0.724424599902704,-0.322377594545188,a_unrel,vieras,labra
L25,214,j,1.03876139991917,0.038029041778727,a_unrel,vieras,labra
L25,129,j,1.03978580003604,0.03901473043649,a_unrel,vieras,labra
L25,135,j,0.993157700169832,-0.00686581569343,a_unrel,vieras,labra
L25,137,j,0.879269500030205,-0.128663829847014,a_unrel,vieras,labra
L25,146,j,0.803945199819282,-0.218224171554884,a_unrel,vieras,labra
L25,154,j,1.17273660004139,0.159339992061293,a_unrel,vieras,labra
L25,156,j,1.06311780004762,0.061205911703076,a_unrel,vieras,labra
L25,162,j,0.74554009991698,-0.293646356932212,a_unrel,vieras,labra
L25,131,j,0.943406299920753,-0.058258230264986,a_unrel,vieras,labra
L25,133,j,0.657513299956918,-0.419290287063444,a_unrel,vieras,labra
L26,109,j,0.554729900090024,-0.589273950200743,a_unrel,vieras,labra
L26,124,j,0.610860900022089,-0.492886005267224,a_unrel,vieras,labra
L26,91,j,0.662217899924144,-0.412160623240447,a_unrel,vieras,labra
L26,119,j,0.48034180002287,-0.733257345110299,a_unrel,vieras,labra
L26,165,j,0.581533600110561,-0.542086526903278,a_unrel,vieras,labra
L26,203,j,0.786700899945572,-0.239907153697459,a_unrel,vieras,labra
L26,173,j,0.54683420015499,-0.603609630084257,a_unrel,vieras,labra
L26,176,j,0.659060799982399,-0.416939487760603,a_unrel,vieras,labra
